Age,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,NumCompaniesWorked,OverTime,PercentSalaryHike,RelationshipSatisfaction,StockOptionLevel,TrainingTimesLastYear,WorkLifeBalance,YearsInCurrentRole,YearsSinceLastPromotion
58,0,0,21,3,0,4,0,3,4,0,4,0,4,0,13,3,1,2,2,0,0
45,0,1,28,3,1,4,1,3,1,1,4,0,4,1,20,4,1,3,3,4,0
40,0,0,26,3,2,3,1,3,2,2,1,0,1,1,14,2,1,3,2,7,7
36,1,0,8,4,0,1,1,2,3,2,1,1,1,1,15,2,0,1,3,7,0
25,2,0,24,1,0,3,1,1,1,3,4,1,1,0,14,4,0,4,3,0,1
52,0,1,4,2,0,4,0,3,4,0,4,0,2,1,13,4,0,2,1,2,1
47,0,1,9,4,0,2,0,3,1,4,3,1,4,1,12,3,0,2,3,2,2
26,0,1,17,4,3,4,1,1,1,4,3,0,1,1,15,3,3,3,4,2,0
24,1,0,13,2,0,4,0,3,1,3,2,0,1,1,13,3,1,2,3,0,0
27,0,1,1,2,0,3,0,3,3,5,1,0,1,1,11,4,0,3,3,7,0
30,0,1,16,1,0,2,1,3,1,1,4,0,1,1,12,2,1,2,2,0,0
47,0,1,4,3,0,3,0,2,3,5,2,2,8,0,12,3,1,4,3,11,14
47,2,0,4,1,3,2,1,3,2,3,3,1,3,1,19,1,0,3,3,0,0
34,2,2,23,3,4,2,0,3,3,6,1,2,9,0,15,3,3,2,3,2,0
45,0,1,2,2,5,4,0,2,2,5,4,2,1,1,19,1,2,3,3,7,3
38,0,2,1,3,4,3,1,4,1,6,3,0,1,1,13,4,1,2,4,6,5
38,2,1,29,5,0,4,0,3,2,4,4,1,1,1,11,4,0,2,3,3,9
29,2,1,1,4,0,2,1,1,1,1,4,2,1,1,18,4,1,5,3,7,2
34,0,1,1,3,0,4,0,2,1,4,2,0,5,1,17,1,1,2,2,4,0
30,0,0,4,2,3,3,0,2,2,2,2,2,1,0,12,2,3,4,2,8,2
27,0,1,8,3,3,2,0,4,1,1,3,0,7,1,17,1,0,0,3,2,0
35,0,1,27,1,3,3,0,2,1,1,1,1,1,1,11,4,0,3,2,5,1
32,1,1,1,3,0,3,0,2,1,4,2,0,6,1,20,3,0,3,3,0,0
35,0,1,4,2,5,3,1,3,1,4,4,2,1,1,12,3,1,3,3,0,0
34,1,1,26,1,1,1,0,2,1,1,3,2,1,1,20,3,3,2,3,4,0
31,0,1,8,4,0,3,0,3,2,5,4,1,1,1,23,4,0,2,3,7,1
19,0,2,2,2,1,1,1,2,1,6,4,1,1,1,12,3,0,3,4,0,0
55,0,1,2,3,3,3,1,2,5,7,1,0,8,1,12,2,3,2,3,0,0
