Age,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
58,0,0,21,3,0,4,0,3,4,0,4,0,4.293390955137144,4,0,13,3,3,1,5.938615135182161,2,2,0.7232926390247202,0,0,0
45,0,1,28,3,1,4,1,3,1,1,4,0,3.919787459684199,4,1,20,4,4,1,3.1185563891569537,3,3,2.0026342817333047,4,0,3
40,0,0,26,3,2,3,1,3,2,2,1,0,4.178375995523383,1,1,14,3,2,1,3.1185563891569537,3,2,2.3669439908983287,7,7,5
36,1,0,8,4,0,1,1,2,3,2,1,1,4.1615906452444555,1,1,15,3,2,0,3.5203335447092834,1,3,2.7854135759006455,7,0,9
25,2,0,24,1,0,3,1,1,1,3,4,1,3.7712259972229,1,0,14,3,4,0,0.7710602063704559,4,3,0.7232926390247202,0,1,0
52,0,1,4,2,0,4,0,3,4,0,4,0,4.282491052993447,2,1,13,3,4,0,6.12070640517151,2,1,2.0026342817333047,2,1,4
47,0,1,9,4,0,2,0,3,1,4,3,1,3.9170354808074035,4,1,12,3,3,0,2.893831991269825,2,3,1.175622953692389,2,2,0
26,0,1,17,4,3,4,1,1,1,4,3,0,3.936482312445485,1,1,15,3,3,3,1.7217255645620062,3,4,1.5103973736359457,2,0,2
24,1,0,13,2,0,4,0,3,1,3,2,0,3.90948490042297,1,1,13,3,3,1,0.7710602063704559,2,3,0.7232926390247202,0,0,0
27,0,1,1,2,0,3,0,3,3,5,1,0,4.157676212463955,1,1,11,3,4,0,3.3264680091915957,3,3,2.6584607585199937,7,0,7
30,0,1,16,1,0,2,1,3,1,1,4,0,3.981458380262954,1,1,12,3,2,1,3.5203335447092834,2,2,2.7854135759006455,0,0,8
47,0,1,4,3,0,3,0,2,3,5,2,2,4.211722628963893,8,0,12,3,3,1,5.84437689854062,4,3,3.819432397001403,11,14,10
47,2,0,4,1,3,2,1,3,2,3,3,1,3.989369931471183,3,1,19,3,1,0,2.3774204109333774,3,3,0.0,0,0,0
34,2,2,23,3,4,2,0,3,3,6,1,2,4.205757824273907,9,0,15,3,3,3,3.7022596222640582,2,3,1.5103973736359457,2,0,2
45,0,1,2,2,5,4,0,2,2,5,4,2,4.114498955217661,1,1,19,3,1,2,3.5203335447092834,3,3,2.7854135759006455,7,3,9
38,0,2,1,3,4,3,1,4,1,6,3,0,3.980174650064659,1,1,13,3,4,1,2.893831991269825,2,4,2.3669439908983287,6,5,0
38,2,1,29,5,0,4,0,3,2,4,4,1,3.9455487881028914,1,1,11,3,4,0,3.5203335447092834,2,3,2.7854135759006455,3,9,9
29,2,1,1,4,0,2,1,1,1,1,4,2,3.9710577827710485,1,1,18,3,4,1,3.5203335447092834,5,3,2.7854135759006455,7,2,8
34,0,1,1,3,0,4,0,2,1,4,2,0,4.00964716866943,5,1,17,3,1,1,2.893831991269825,2,2,2.0026342817333047,4,0,2
30,0,0,4,2,3,3,0,2,2,2,2,2,4.096232636102834,1,0,12,3,2,3,3.7022596222640582,4,2,2.902608229699713,8,2,7
27,0,1,8,3,3,2,0,4,1,1,3,0,4.022514191090515,7,1,17,3,1,0,2.3774204109333774,0,3,1.5103973736359457,2,0,2
35,0,1,27,1,3,3,0,2,1,1,1,1,3.9584474431792067,1,1,11,3,4,0,2.6485467331394013,3,2,2.1962544932649113,5,1,1
32,1,1,1,3,0,3,0,2,1,4,2,0,3.938952032734536,6,1,20,4,3,0,2.3774204109333774,3,3,1.5103973736359457,0,0,2
35,0,1,4,2,5,3,1,3,1,4,4,2,3.900484918223577,1,1,12,3,3,1,0.7710602063704559,3,3,0.7232926390247202,0,0,0
34,1,1,26,1,1,1,0,2,1,1,3,2,3.9090560490826802,1,1,20,4,3,3,2.3774204109333774,2,3,2.0026342817333047,4,0,0
31,0,1,8,4,0,3,0,3,2,5,4,1,4.06627667500478,1,1,23,4,4,0,3.7022596222640582,2,3,2.902608229699713,7,1,8
19,0,2,2,2,1,1,1,2,1,6,4,1,3.958853251658105,1,1,12,3,3,0,0.7710602063704559,3,4,0.7232926390247202,0,0,0
